PassengerId,HomePlanet,CryoSleep,Deck,Cabin_Number,Side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Age_Group,total_expenditure,any_expenditure,family,family_size,travel_group,travel_group_size
0015_01,Earth,FALSE,F,4,P,55 Cancri e,24,FALSE,0,1,0,0,637,Carry Hughriend,FALSE,18-25,638,TRUE,Hughriend,7,0015,1
0016_01,Mars,TRUE,F,5,P,TRAPPIST-1e,45,FALSE,0,0,0,0,0,Alus Upead,TRUE,31-50,0,FALSE,Upead,3,0016,1
0017_01,Earth,FALSE,G,0,P,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Lyde Brighttt,TRUE,0-12,0,FALSE,Brighttt,6,0017,2
0017_02,Earth,FALSE,F,6,P,55 Cancri e,14,FALSE,412,0,1,0,679,Philda Brighttt,FALSE,13-17,1092,TRUE,Brighttt,6,0017,2
0020_01,Earth,TRUE,E,0,S,TRAPPIST-1e,1,FALSE,0,0,0,0,0,Almary Brantuarez,FALSE,0-12,0,FALSE,Brantuarez,7,0020,6
0020_02,Earth,TRUE,E,0,S,55 Cancri e,49,FALSE,0,0,0,0,0,Glendy Brantuarez,FALSE,31-50,0,FALSE,Brantuarez,7,0020,6
0020_03,Earth,TRUE,E,0,S,55 Cancri e,29,FALSE,0,0,0,0,0,Mollen Mcfaddennon,FALSE,26-30,0,FALSE,Mcfaddennon,6,0020,6
0020_04,Earth,FALSE,E,0,S,TRAPPIST-1e,10,FALSE,0,0,0,0,0,Breney Jacostanley,TRUE,0-12,0,FALSE,Jacostanley,1,0020,6
0020_05,Earth,TRUE,E,0,S,PSO J318.5-22,1,FALSE,0,0,0,0,0,Mael Brantuarez,FALSE,0-12,0,FALSE,Brantuarez,7,0020,6
0020_06,Earth,FALSE,E,0,S,TRAPPIST-1e,7,FALSE,0,0,0,0,0,Terta Mcfaddennon,FALSE,0-12,0,FALSE,Mcfaddennon,6,0020,6
0022_01,Mars,FALSE,D,0,P,TRAPPIST-1e,21,FALSE,980,2,69,0,0,Alraium Disivering,FALSE,18-25,1051,TRUE,Disivering,207,0022,1
0024_01,Europa,TRUE,C,2,S,TRAPPIST-1e,62,FALSE,0,0,0,0,0,Penton Fullided,TRUE,51+,0,FALSE,Fullided,1,0024,1
0025_01,Earth,FALSE,F,6,S,TRAPPIST-1e,15,FALSE,0,225,0,998,0,Karard Brookenson,FALSE,13-17,1223,TRUE,Brookenson,3,0025,1
0026_01,Europa,FALSE,C,0,P,55 Cancri e,34,FALSE,22,6073,0,1438,328,Anyoni Unconary,FALSE,31-50,7861,TRUE,Unconary,2,0026,1
0028_01,Mars,FALSE,F,8,P,TRAPPIST-1e,43,FALSE,1125,0,136,48,0,Ceros Mare,FALSE,31-50,1309,TRUE,Mare,5,0028,1
0030_01,Earth,FALSE,G,4,S,TRAPPIST-1e,32,FALSE,0,850,81,437,453,Ginia Morsentley,FALSE,31-50,1821,TRUE,Morsentley,4,0030,1
0031_01,Mars,FALSE,F,9,P,TRAPPIST-1e,47,FALSE,214,0,1411,0,1229,Coobix Datie,TRUE,31-50,2854,TRUE,Datie,4,0031,3
0031_02,Mars,FALSE,F,9,P,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Cinets Datie,TRUE,0-12,0,FALSE,Datie,4,0031,3
0031_03,Mars,FALSE,F,9,P,TRAPPIST-1e,20,FALSE,0,0,1750,990,0,Dontch Datie,TRUE,18-25,2740,TRUE,Datie,4,0031,3
0034_01,Europa,TRUE,D,1,S,55 Cancri e,28,FALSE,0,0,0,0,0,Ziba Oingwhedly,TRUE,26-30,0,FALSE,Oingwhedly,1,0034,1
0035_01,Mars,FALSE,D,1,P,55 Cancri e,23,FALSE,784,964,0,951,0,Luse Butte,FALSE,18-25,2699,TRUE,Butte,5,0035,1
0036_01,Earth,FALSE,F,8,S,55 Cancri e,15,FALSE,0,492,48,20,401,Marina Leodger,FALSE,13-17,961,TRUE,Leodger,5,0036,1
0038_01,Earth,FALSE,F,10,S,55 Cancri e,20,FALSE,554,195,0,2606,0,Loise Wheelez,FALSE,18-25,3355,TRUE,Wheelez,7,0038,1
0039_01,Earth,TRUE,G,1,P,55 Cancri e,30,FALSE,0,0,0,0,0,Jorgie Batthewitt,FALSE,26-30,0,FALSE,Batthewitt,1,0039,1
0041_01,Earth,TRUE,G,2,P,TRAPPIST-1e,17,FALSE,0,0,0,0,0,Margia Moodsey,TRUE,13-17,0,FALSE,Moodsey,10,0041,1
0043_01,Europa,FALSE,B,3,P,TRAPPIST-1e,45,FALSE,0,164,45,2511,855,Ankalik Cylistrand,FALSE,31-50,3575,TRUE,Cylistrand,2,0043,1
0044_01,Earth,TRUE,G,3,P,TRAPPIST-1e,55,FALSE,0,0,0,0,0,Jodye Coopelandez,FALSE,51+,0,FALSE,Coopelandez,6,0044,3
0044_02,Earth,TRUE,G,3,P,55 Cancri e,4,FALSE,0,0,0,0,0,Kayne Coopelandez,TRUE,0-12,0,FALSE,Coopelandez,6,0044,3
0044_03,Earth,TRUE,G,3,P,PSO J318.5-22,21,FALSE,0,0,0,0,0,Cassa Coopelandez,TRUE,18-25,0,FALSE,Coopelandez,6,0044,3
0045_01,Mars,FALSE,F,10,P,TRAPPIST-1e,21,FALSE,970,0,180,0,64,Zelowl Chmad,FALSE,18-25,1214,TRUE,Chmad,4,0045,2
0045_02,Mars,TRUE,F,10,P,TRAPPIST-1e,19,FALSE,0,0,0,0,0,Mass Chmad,TRUE,18-25,0,FALSE,Chmad,4,0045,2
0050_01,Earth,FALSE,E,1,S,55 Cancri e,35,FALSE,790,0,0,0,0,Sony Lancis,FALSE,31-50,790,TRUE,Lancis,2,0050,1
0051_01,Earth,FALSE,E,2,S,TRAPPIST-1e,56,FALSE,0,112,0,1379,127,Vivia Johnshines,FALSE,51+,1618,TRUE,Johnshines,6,0051,1
0052_01,Earth,FALSE,G,6,S,TRAPPIST-1e,27,FALSE,4,0,2,4683,0,Elaney Hubbarton,FALSE,26-30,4689,TRUE,Hubbarton,8,0052,1
0053_01,Earth,FALSE,F,11,S,TRAPPIST-1e,25,FALSE,0,0,1938,0,1,Elson Hickerson,TRUE,18-25,1939,TRUE,Hickerson,4,0053,1
0056_01,Europa,FALSE,A,1,S,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Okulas Tractive,TRUE,0-12,0,FALSE,Tractive,6,0056,3
0056_02,Europa,TRUE,A,1,S,TRAPPIST-1e,38,FALSE,0,0,0,0,0,Instab Tractive,TRUE,31-50,0,FALSE,Tractive,6,0056,3
0056_03,Europa,FALSE,A,1,S,TRAPPIST-1e,27,FALSE,279,605,3374,286,3,Zinoces Tractive,TRUE,26-30,4547,TRUE,Tractive,6,0056,3
0058_01,Earth,TRUE,G,7,S,PSO J318.5-22,36,FALSE,0,0,0,0,0,Warry Ayalazquez,FALSE,31-50,0,FALSE,Ayalazquez,3,0058,1
0061_01,Earth,FALSE,F,12,S,TRAPPIST-1e,22,FALSE,45,1096,148,1377,1,Shanya Salez,FALSE,18-25,2667,TRUE,Salez,4,0061,1
0062_01,Earth,FALSE,F,13,S,TRAPPIST-1e,62,FALSE,0,592,0,17,25,Sterry Greeves,FALSE,51+,634,TRUE,Greeves,6,0062,1
0064_01,Mars,TRUE,F,14,S,TRAPPIST-1e,15,FALSE,0,0,0,0,0,Alraium Disivering,TRUE,13-17,0,FALSE,Disivering,207,0064,2
0064_02,Earth,TRUE,E,3,S,TRAPPIST-1e,33,FALSE,0,0,0,0,0,Colatz Keen,TRUE,31-50,0,FALSE,Keen,1,0064,2
0066_01,Earth,FALSE,G,6,P,TRAPPIST-1e,62,FALSE,1,153,197,0,460,Diandy Pecketton,FALSE,51+,811,TRUE,Pecketton,3,0066,1
0067_01,Earth,TRUE,G,10,S,PSO J318.5-22,0,FALSE,0,0,0,0,0,Ninaha Leeves,TRUE,0-12,0,FALSE,Leeves,6,0067,3
0067_02,Earth,FALSE,G,10,S,TRAPPIST-1e,18,FALSE,1,258,446,0,0,Celine Leeves,TRUE,18-25,705,TRUE,Leeves,6,0067,3
0067_03,Earth,FALSE,F,15,S,55 Cancri e,21,FALSE,1946,37,0,0,24,Velyne Leeves,FALSE,18-25,2007,TRUE,Leeves,6,0067,3
0068_01,Mars,FALSE,E,4,S,TRAPPIST-1e,27,FALSE,793,0,2,253,0,Cinst Binie,FALSE,26-30,1048,TRUE,Binie,3,0068,1
0069_01,Earth,FALSE,F,16,S,TRAPPIST-1e,42,FALSE,887,0,9,6,0,Alraium Disivering,TRUE,31-50,902,TRUE,Disivering,207,0069,1
0070_01,Earth,FALSE,F,13,P,TRAPPIST-1e,19,FALSE,190,0,5,1,726,Meremy Brighttt,FALSE,18-25,922,TRUE,Brighttt,6,0070,1
0071_01,Earth,FALSE,F,14,P,TRAPPIST-1e,17,FALSE,16,2165,0,0,52,Nelly Dillines,FALSE,13-17,2233,TRUE,Dillines,3,0071,1
0072_01,Earth,FALSE,F,17,S,TRAPPIST-1e,14,FALSE,0,1,0,0,1063,Thell Brantuarez,FALSE,13-17,1064,TRUE,Brantuarez,7,0072,1
0073_01,Mars,FALSE,D,3,P,PSO J318.5-22,37,FALSE,46,83,738,0,12,Gorn Make,FALSE,31-50,879,TRUE,Make,8,0073,1
0074_01,Europa,FALSE,C,3,S,TRAPPIST-1e,42,FALSE,1,8397,0,0,506,Aldibah Mostedry,TRUE,31-50,8904,TRUE,Mostedry,4,0074,1
0076_01,Mars,FALSE,F,18,S,TRAPPIST-1e,27,FALSE,147,0,1018,0,0,Conk Dal,TRUE,26-30,1165,TRUE,Dal,10,0076,1
0077_01,Mars,FALSE,F,15,P,TRAPPIST-1e,28,FALSE,14,0,1295,0,0,Pon Blité,TRUE,26-30,1309,TRUE,Blité,1,0077,1
0078_01,Europa,FALSE,C,4,S,TRAPPIST-1e,38,FALSE,0,5840,0,321,9654,Spuri Pokerheed,FALSE,31-50,15815,TRUE,Pokerheed,2,0078,1
0081_01,Earth,TRUE,G,13,S,TRAPPIST-1e,13,FALSE,0,0,0,0,0,Dellie Vinozarks,FALSE,13-17,0,FALSE,Vinozarks,9,0081,1
0082_01,Mars,FALSE,F,16,P,TRAPPIST-1e,42,FALSE,7406,0,0,0,0,Totse Datte,FALSE,31-50,7406,TRUE,Datte,4,0082,3
0082_02,Mars,TRUE,F,16,P,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Eaturs Datte,TRUE,0-12,0,FALSE,Datte,4,0082,3
0082_03,Mars,FALSE,F,16,P,TRAPPIST-1e,8,FALSE,0,0,0,0,0,Alraium Disivering,TRUE,0-12,0,FALSE,Disivering,207,0082,3
0084_01,Earth,FALSE,G,14,S,TRAPPIST-1e,24,FALSE,688,0,0,0,17,Coren Coopezmaney,TRUE,18-25,705,TRUE,Coopezmaney,5,0084,1
0085_01,Europa,TRUE,C,5,S,TRAPPIST-1e,40,FALSE,0,0,0,0,0,Furudah Ellcefulve,TRUE,31-50,0,FALSE,Ellcefulve,2,0085,1
0086_01,Earth,FALSE,F,17,P,TRAPPIST-1e,43,FALSE,211,0,0,638,513,Jodye Kinson,FALSE,31-50,1362,TRUE,Kinson,5,0086,1
0088_01,Mars,TRUE,E,5,S,PSO J318.5-22,45,FALSE,0,0,0,0,0,Stmeal Sacre,TRUE,31-50,0,FALSE,Sacre,3,0088,1
0090_01,Earth,TRUE,G,15,S,TRAPPIST-1e,35,FALSE,0,0,0,0,0,Heremy Santry,TRUE,31-50,0,FALSE,Santry,10,0090,1
0091_01,Earth,TRUE,G,16,S,TRAPPIST-1e,26,FALSE,0,0,0,0,0,Deanne Yorkland,TRUE,26-30,0,FALSE,Yorkland,11,0091,2
0091_02,Earth,FALSE,F,20,S,TRAPPIST-1e,27,FALSE,1,697,31,188,0,Tinez Yorkland,FALSE,26-30,917,TRUE,Yorkland,11,0091,2
0092_01,Earth,FALSE,G,9,P,TRAPPIST-1e,19,FALSE,0,0,670,1,34,Gracy Dunnisey,FALSE,18-25,705,TRUE,Dunnisey,4,0092,3
0092_02,Earth,TRUE,G,9,P,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Stald Hewson,TRUE,0-12,0,FALSE,Hewson,7,0092,3
0092_03,Earth,TRUE,G,9,P,TRAPPIST-1e,3,FALSE,0,0,0,0,0,Tiney Hewson,TRUE,0-12,0,FALSE,Hewson,7,0092,3
0097_01,Europa,FALSE,A,2,S,TRAPPIST-1e,54,FALSE,0,1208,0,3,637,Alchium Fictful,FALSE,51+,1848,TRUE,Fictful,4,0097,1
0098_01,Earth,FALSE,G,11,P,TRAPPIST-1e,26,FALSE,0,856,5,32,0,Doria Carezquez,FALSE,26-30,893,TRUE,Carezquez,5,0098,2
0098_02,Earth,FALSE,G,11,P,TRAPPIST-1e,26,FALSE,0,2811,957,0,87,Leence Carezquez,TRUE,26-30,3855,TRUE,Carezquez,5,0098,2
0099_01,Earth,FALSE,F,19,P,PSO J318.5-22,23,FALSE,311,427,526,37,0,Aliey Leetersoney,FALSE,18-25,1301,TRUE,Leetersoney,3,0099,2
0099_02,Earth,FALSE,G,12,P,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Thewis Connelson,TRUE,0-12,0,FALSE,Connelson,4,0099,2
0101_01,Mars,TRUE,G,734,S,TRAPPIST-1e,31,FALSE,0,0,0,0,0,Book Trad,TRUE,31-50,0,FALSE,Trad,3,0101,1
0102_01,Earth,FALSE,F,23,S,TRAPPIST-1e,18,FALSE,0,0,0,830,91,Ritany Holson,FALSE,18-25,921,TRUE,Holson,4,0102,1
0103_01,Earth,FALSE,F,24,S,TRAPPIST-1e,24,FALSE,0,0,0,0,17,Arlen Mclainez,TRUE,18-25,17,TRUE,Mclainez,6,0103,3
0103_02,Earth,TRUE,G,18,S,55 Cancri e,9,FALSE,0,0,0,0,0,Shaele Mclainez,TRUE,0-12,0,FALSE,Mclainez,6,0103,3
0103_03,Earth,TRUE,G,18,S,TRAPPIST-1e,6,FALSE,0,0,0,0,0,Fanne Mclainez,FALSE,0-12,0,FALSE,Mclainez,6,0103,3
0105_01,Earth,FALSE,F,21,P,TRAPPIST-1e,27,FALSE,0,0,570,2,131,Carry Cleachrand,FALSE,26-30,703,TRUE,Cleachrand,7,0105,1
0107_01,Mars,FALSE,D,2,S,TRAPPIST-1e,21,FALSE,1743,5,17,0,0,Coobix Hart,FALSE,18-25,1765,TRUE,Hart,3,0107,1
0108_01,Earth,TRUE,G,19,S,TRAPPIST-1e,23,FALSE,0,0,0,0,0,Natald Handertiz,FALSE,18-25,0,FALSE,Handertiz,8,0108,3
0108_02,Earth,FALSE,G,19,S,TRAPPIST-1e,31,FALSE,562,0,326,0,0,Alraium Disivering,FALSE,31-50,888,TRUE,Disivering,207,0108,3
0108_03,Earth,FALSE,G,19,S,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Oline Handertiz,TRUE,0-12,0,FALSE,Handertiz,8,0108,3
0110_01,Europa,FALSE,G,734,S,TRAPPIST-1e,32,FALSE,0,410,6,3929,764,Graviph Aloubtled,FALSE,31-50,5109,TRUE,Aloubtled,5,0110,4
0110_02,Europa,FALSE,B,5,P,TRAPPIST-1e,40,FALSE,0,331,0,0,1687,Aldeba Bootious,FALSE,31-50,2018,TRUE,Bootious,2,0110,4
0110_03,Europa,FALSE,B,5,P,TRAPPIST-1e,42,FALSE,2209,11418,0,1868,445,Alaratz Aloubtled,TRUE,31-50,15940,TRUE,Aloubtled,5,0110,4
0110_04,Europa,TRUE,B,5,P,TRAPPIST-1e,28,FALSE,0,0,0,0,0,Izark Aloubtled,TRUE,26-30,0,FALSE,Aloubtled,5,0110,4
0111_01,Europa,TRUE,E,6,S,TRAPPIST-1e,29,FALSE,0,0,0,0,0,Aldera Supred,TRUE,26-30,0,FALSE,Supred,5,0111,1
0112_01,Europa,FALSE,B,1,S,55 Cancri e,48,TRUE,0,2537,87,17,13,Moth Cowtale,TRUE,31-50,2654,TRUE,Cowtale,2,0112,1
0113_01,Earth,FALSE,F,23,P,TRAPPIST-1e,64,FALSE,0,0,804,0,0,Idary Carvis,TRUE,51+,804,TRUE,Carvis,5,0113,1
0114_01,Earth,FALSE,G,20,S,TRAPPIST-1e,27,FALSE,82,157,429,238,1,Maura Beckerson,FALSE,26-30,907,TRUE,Beckerson,5,0114,1
0115_01,Mars,FALSE,F,24,P,TRAPPIST-1e,26,FALSE,0,0,0,0,0,Rohs Pead,TRUE,26-30,0,FALSE,Pead,5,0115,1
0116_01,Europa,FALSE,D,4,P,TRAPPIST-1e,33,FALSE,1,2223,0,12,404,Alhenah Suptive,TRUE,31-50,2640,TRUE,Suptive,2,0116,1
0119_01,Earth,FALSE,A,0,P,TRAPPIST-1e,39,FALSE,0,2344,0,65,6898,Batan Coning,FALSE,31-50,9307,TRUE,Coning,5,0119,2
0119_02,Europa,TRUE,A,0,P,TRAPPIST-1e,13,FALSE,0,0,0,0,0,Kleeiak Coning,TRUE,13-17,0,FALSE,Coning,5,0119,2
0120_01,Mars,TRUE,F,25,P,TRAPPIST-1e,24,FALSE,0,0,0,0,0,Bees Sacre,TRUE,18-25,0,FALSE,Sacre,3,0120,1
0122_01,Earth,FALSE,G,21,S,TRAPPIST-1e,29,FALSE,0,0,0,699,74,Shelle Hayder,FALSE,26-30,773,TRUE,Hayder,6,0122,1
0123_01,Earth,FALSE,F,27,P,TRAPPIST-1e,18,FALSE,55,597,49,0,1,Iree Fielson,FALSE,18-25,702,TRUE,Fielson,6,0123,1
0126_01,Mars,TRUE,F,27,S,TRAPPIST-1e,67,FALSE,0,0,0,0,0,Milly Mish,TRUE,51+,0,FALSE,Mish,3,0126,1
0127_01,Mars,FALSE,E,7,S,TRAPPIST-1e,35,FALSE,701,0,296,0,25,Miloss Mesty,FALSE,31-50,1022,TRUE,Mesty,3,0127,1
0128_01,Mars,FALSE,D,3,S,TRAPPIST-1e,61,TRUE,2353,334,9,316,2,Grohs Fles,FALSE,51+,3014,TRUE,Fles,2,0128,2
0128_02,Mars,FALSE,E,8,S,TRAPPIST-1e,45,FALSE,2103,6,0,0,0,Barave Fles,FALSE,31-50,2109,TRUE,Fles,2,0128,2
0129_01,Earth,TRUE,G,22,S,PSO J318.5-22,22,FALSE,0,0,0,0,0,Race Fowles,TRUE,18-25,0,FALSE,Fowles,5,0129,1
0133_01,Mars,TRUE,F,29,S,TRAPPIST-1e,19,FALSE,0,0,0,0,0,Flynx Blie,TRUE,18-25,0,FALSE,Blie,3,0133,2
0133_02,Mars,FALSE,D,5,S,TRAPPIST-1e,36,FALSE,2738,0,0,0,0,Egrasp Blie,FALSE,31-50,2738,TRUE,Blie,3,0133,2
0134_01,Earth,FALSE,G,17,P,TRAPPIST-1e,19,FALSE,0,14,730,0,0,Camina Harmontry,TRUE,18-25,744,TRUE,Harmontry,4,0134,1
0136_01,Earth,FALSE,G,23,S,PSO J318.5-22,47,FALSE,97,418,126,25,55,Alraium Disivering,FALSE,31-50,721,TRUE,Disivering,207,0136,1
0138_01,Earth,TRUE,G,18,P,TRAPPIST-1e,13,FALSE,0,0,0,0,0,Fayene Gambs,TRUE,13-17,0,FALSE,Gambs,4,0138,2
0138_02,Earth,FALSE,E,5,P,TRAPPIST-1e,34,FALSE,0,22,0,564,207,Monah Gambs,FALSE,31-50,793,TRUE,Gambs,4,0138,2
0139_01,Europa,TRUE,C,6,S,55 Cancri e,35,FALSE,0,0,0,0,0,Charda Myling,TRUE,31-50,0,FALSE,Myling,9,0139,1
0140_01,Earth,TRUE,G,19,P,TRAPPIST-1e,24,FALSE,0,0,0,0,0,Evaley Mejiaddox,TRUE,18-25,0,FALSE,Mejiaddox,6,0140,2
0140_02,Earth,FALSE,F,29,P,TRAPPIST-1e,26,FALSE,440,0,0,0,462,Verney Whitakers,FALSE,26-30,902,TRUE,Whitakers,4,0140,2
0141_01,Mars,FALSE,F,30,P,TRAPPIST-1e,31,FALSE,0,0,97,0,0,Pyrohs Harte,FALSE,31-50,97,TRUE,Harte,2,0141,1
0144_01,Earth,FALSE,F,31,S,TRAPPIST-1e,20,FALSE,0,420,210,0,0,Guadae Dayers,TRUE,18-25,630,TRUE,Dayers,5,0144,1
0146_01,Earth,FALSE,G,25,S,TRAPPIST-1e,56,FALSE,0,0,0,0,0,Verly Wolferguson,FALSE,51+,0,FALSE,Wolferguson,8,0146,1
0147_01,Earth,TRUE,G,26,S,TRAPPIST-1e,50,FALSE,0,0,0,0,0,Samie Hubbarrison,TRUE,31-50,0,FALSE,Hubbarrison,9,0147,1
0148_01,Mars,FALSE,F,31,P,TRAPPIST-1e,42,FALSE,1072,0,10,0,76,Corsh Pashe,FALSE,31-50,1158,TRUE,Pashe,1,0148,1
0149_01,Earth,TRUE,G,27,S,55 Cancri e,27,FALSE,0,0,0,0,0,Billya Hubbarrison,TRUE,26-30,0,FALSE,Hubbarrison,9,0149,1
0151_01,Earth,TRUE,G,20,P,55 Cancri e,38,FALSE,0,0,0,0,0,Shanie Simson,FALSE,31-50,0,FALSE,Simson,6,0151,1
0152_01,Earth,FALSE,F,32,P,TRAPPIST-1e,41,FALSE,0,0,0,0,607,Andan Estron,FALSE,31-50,607,TRUE,Estron,5,0152,1
0160_01,Earth,FALSE,G,22,P,TRAPPIST-1e,22,FALSE,4119,0,0,0,61,Gory Atkinney,FALSE,18-25,4180,TRUE,Atkinney,1,0160,1
0163_01,Europa,TRUE,B,8,P,TRAPPIST-1e,26,FALSE,0,0,0,0,0,Kabiton Hetforhaft,TRUE,26-30,0,FALSE,Hetforhaft,6,0163,2
0163_02,Europa,TRUE,B,8,P,TRAPPIST-1e,17,FALSE,0,0,0,0,0,Scharab Hetforhaft,TRUE,13-17,0,FALSE,Hetforhaft,6,0163,2
0164_01,Earth,FALSE,G,28,S,TRAPPIST-1e,57,FALSE,50,1688,0,0,135,Fany Hutchinton,TRUE,51+,1873,TRUE,Hutchinton,4,0164,2
0164_02,Earth,TRUE,G,28,S,PSO J318.5-22,17,FALSE,0,0,0,0,0,Ianya Hutchinton,FALSE,13-17,0,FALSE,Hutchinton,4,0164,2
0165_01,Mars,TRUE,F,37,P,TRAPPIST-1e,35,FALSE,0,0,0,0,0,Graven Anche,TRUE,31-50,0,FALSE,Anche,2,0165,1
0167_01,Mars,TRUE,F,35,S,TRAPPIST-1e,13,FALSE,0,0,0,0,0,Miten Floaf,TRUE,13-17,0,FALSE,Floaf,4,0167,2
0167_02,Mars,FALSE,F,35,S,TRAPPIST-1e,27,FALSE,1365,0,48,22,137,Rios Floaf,FALSE,26-30,1572,TRUE,Floaf,4,0167,2
0169_01,Earth,TRUE,G,23,P,TRAPPIST-1e,31,FALSE,0,0,0,0,0,Wandy Fisherry,FALSE,31-50,0,FALSE,Fisherry,2,0169,1
0170_01,Earth,FALSE,E,10,S,TRAPPIST-1e,24,FALSE,0,0,0,221,567,Mollie Mcmahoney,FALSE,18-25,788,TRUE,Mcmahoney,4,0170,1
0171_01,Earth,TRUE,G,30,S,PSO J318.5-22,19,FALSE,0,0,0,0,0,Coracy Gordanieves,TRUE,18-25,0,FALSE,Gordanieves,7,0171,1
0172_01,Earth,TRUE,G,24,P,TRAPPIST-1e,32,FALSE,0,0,0,0,0,Hanna Johnshines,TRUE,31-50,0,FALSE,Johnshines,6,0172,1
0173_01,Earth,FALSE,E,11,S,TRAPPIST-1e,58,FALSE,0,985,0,5,0,Hilip Grifford,TRUE,51+,990,TRUE,Grifford,4,0173,1
0174_01,Earth,FALSE,F,38,P,55 Cancri e,21,FALSE,287,0,16,115,175,Doryn Lambles,FALSE,18-25,593,TRUE,Lambles,6,0174,1
0177_01,Europa,FALSE,B,2,S,TRAPPIST-1e,38,FALSE,0,10346,1,14970,2111,Toperon Iniouser,FALSE,31-50,27428,TRUE,Iniouser,4,0177,1
0178_01,Mars,FALSE,D,6,S,TRAPPIST-1e,38,FALSE,3414,0,161,28,119,Wees Knik,FALSE,31-50,3722,TRUE,Knik,7,0178,1
0179_01,Earth,FALSE,G,26,P,TRAPPIST-1e,19,FALSE,1,219,673,2,11,Elaney Webstephrey,TRUE,18-25,906,TRUE,Webstephrey,9,0179,3
0179_02,Earth,FALSE,G,26,P,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Raque Webstephrey,FALSE,0-12,0,FALSE,Webstephrey,9,0179,3
0179_03,Earth,FALSE,G,26,P,TRAPPIST-1e,3,FALSE,0,0,0,0,0,Sallyl Webstephrey,TRUE,0-12,0,FALSE,Webstephrey,9,0179,3
0181_01,Earth,FALSE,G,27,P,TRAPPIST-1e,20,FALSE,0,0,3,299,92,Nancis Brighttt,FALSE,18-25,394,TRUE,Brighttt,6,0181,1
